Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52,Week-53
5,3,2,4,0,3,4,5,1,2,2,1,1,0,0,0,0,0,0,0,0,3,3,1,2,2,1,0,0,4,1,3,2,5,1,10,1,10,7,4,9,5,12,3,8,8,13,14,9,18
0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,3,9,4,16,16,9,4,26,18,16,11,12,7,4,5,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4,4,2,7,4,2,2,2,3,11,3,3,2,2,2,5,1,4,4,5,9,5,1,2,1,1,1,2,3,5,3,1,3,2,2,7,4,9,10,9,7,7,6,4,1,1,4,3,6,5
2,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,2,1,0,1,0,1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,1,2,1,7,8,12,10,1,4,3,0,9,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0
4,3,3,2,3,3,13,9,12,11,8,15,8,5,9,15,11,18,8,13,12,12,9,8,9,12,21,13,17,12,8,9,8,4,12,12,7,11,8,10,6,6,6,8,12,4,2,6,4,8
36,32,30,18,12,33,8,24,12,8,13,32,9,8,4,11,6,8,3,7,13,14,3,3,13,9,4,5,6,18,5,8,6,14,31,47,44,54,59,52,43,54,53,36,75,54,52,43,39,123
11,16,9,15,8,12,8,8,14,6,3,8,6,0,3,0,2,0,0,0,0,7,1,1,2,0,0,1,5,2,1,5,2,2,7,16,37,35,50,31,38,26,35,29,35,34,27,29,31,33
10,10,14,13,14,6,11,15,10,3,6,6,5,1,0,1,1,4,1,2,6,5,7,4,7,2,3,7,19,18,9,8,11,15,27,19,15,18,9,14,16,20,17,21,36,24,21,22,25,8
10,8,13,7,12,2,4,6,4,2,3,4,2,4,1,13,10,6,16,1,0,9,4,1,0,3,2,1,5,0,1,0,4,4,4,3,5,3,1,3,8,7,7,9,30,17,11,22,22,15
0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,3,0,1,1,2,0,0,6,5,1,0,0,1,0,0,0,0,0,0,0,1
33,27,29,32,38,49,38,35,52,35,20,34,33,15,23,62,51,46,31,51,39,40,47,31,37,40,42,40,64,41,27,30,43,37,54,64,45,77,51,49,48,55,61,54,54,55,37,41,78,49
1,0,0,2,0,0,0,0,0,0,0,0,1,2,1,3,5,4,3,6,2,7,3,2,2,5,2,6,4,4,3,0,4,2,2,7,5,7,1,2,0,1,0,0,0,4,0,0,1,1
1,2,2,3,3,0,1,0,3,1,2,4,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,7,3,5,5,9,1,8,5,6,4
4,1,2,2,1,4,1,3,0,1,1,2,1,0,0,4,3,1,0,4,7,10,17,8,15,23,27,10,17,38,32,28,21,11,8,11,4,7,19,7,6,0,2,2,5,8,2,2,2,1
27,24,33,27,24,51,38,53,34,37,30,34,22,10,12,39,26,18,15,18,19,24,18,23,21,34,24,29,33,30,29,25,28,16,57,41,42,68,42,29,39,53,53,64,51,41,47,44,61,56
0,1,0,2,1,6,2,4,0,1,1,0,0,1,0,4,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,2,4,2,1,4,6,5,6,5
